Date,Anomaly
1869-11-01,0.00
1869-12-01,-0.07
1870-01-01,-0.05
1870-02-01,-0.15
1870-03-01,-0.04
1870-04-01,-0.11
1870-05-01,-0.11
1870-06-01,-0.16
1870-07-01,-0.11
1870-08-01,-0.16
1870-09-01,-0.20
1870-10-01,-0.31
1870-11-01,-0.23
1870-12-01,-0.36
1871-01-01,-0.27
1871-02-01,-0.32
1871-03-01,0.00
1871-04-01,0.00
1871-05-01,-0.12
1871-06-01,-0.12
1871-07-01,-0.08
1871-08-01,-0.14
1871-09-01,-0.23
1871-10-01,-0.25
1871-11-01,-0.23
1871-12-01,-0.23
1872-01-01,-0.18
1872-02-01,-0.18
1872-03-01,-0.20
1872-04-01,-0.20
1872-05-01,-0.17
1872-06-01,-0.16
1872-07-01,-0.12
1872-08-01,-0.09
1872-09-01,-0.18
1872-10-01,-0.13
1872-11-01,-0.16
1872-12-01,-0.28
1873-01-01,-0.11
1873-02-01,-0.18
1873-03-01,-0.26
1873-04-01,-0.43
1873-05-01,-0.29
1873-06-01,-0.13
1873-07-01,-0.12
1873-08-01,-0.09
1873-09-01,-0.19
1873-10-01,-0.16
1873-11-01,-0.18
1873-12-01,-0.12
1874-01-01,-0.05
1874-02-01,-0.17
1874-03-01,-0.29
1874-04-01,-0.28
1874-05-01,-0.30
1874-06-01,-0.26
1874-07-01,-0.15
1874-08-01,-0.13
1874-09-01,-0.15
1874-10-01,-0.20
1874-11-01,-0.25
1874-12-01,-0.25
1875-01-01,-0.40
1875-02-01,-0.21
1875-03-01,-0.21
1875-04-01,-0.22
1875-05-01,-0.10
1875-06-01,-0.08
1875-07-01,-0.10
1875-08-01,-0.09
1875-09-01,-0.17
1875-10-01,-0.15
1875-11-01,-0.34
1875-12-01,-0.31
1876-01-01,-0.26
1876-02-01,-0.23
1876-03-01,-0.16
1876-04-01,-0.28
1876-05-01,-0.35
1876-06-01,-0.19
1876-07-01,-0.16
1876-08-01,-0.15
1876-09-01,-0.19
1876-10-01,-0.16
1876-11-01,-0.26
1876-12-01,-0.22
1877-01-01,-0.14
1877-02-01,-0.01
1877-03-01,0.04
1877-04-01,-0.09
1877-05-01,-0.04
1877-06-01,0.06
1877-07-01,0.12
1877-08-01,0.11
1877-09-01,0.14
1877-10-01,0.12
1877-11-01,0.19
1877-12-01,0.10
1878-01-01,0.10
